     ID    LATITUDE   LONGITUDE    ALTITUDE  MM DD YYYY HH MM SS   TEMP     PRCP    WIND   PRESS 
NWS019AL   35.319141  -85.556360      550.00  4 26 2019  8 34 38   84.00    2.14    0.38   30.69
NWS009AL   34.438719  -86.506463     1200.00  4  2 2019 20 58 24   85.00    2.76    3.97   29.51
NWS001AL   34.719144  -86.463601      650.00  4  7 2019 10 17 10   81.00    2.45    5.90   29.19
NWS017AL   35.219142  -85.296361      625.00  4 25 2019 21 22 46   83.00    1.76    7.41   33.46
NWS012AL   35.071911  -85.646360     1350.00  4  8 2019 13  8 43   78.00    2.80    5.44   30.23
NWS008AL   35.141938  -85.366461      500.00  4 18 2019 13 55  5   70.00    1.33    5.95   30.00
NWS001AL   34.719144  -86.463601      650.00  4 17 2019 19 51 51   81.00    0.83    6.94   31.31
NWS015AL   34.871914  -86.306360      978.00  4  9 2019 19 20 31   76.00    2.84    4.62   30.78
NWS017AL   35.219142  -85.296361      625.00  4 29 2019 13 47 17   70.00    1.72    0.31   31.99
NWS001AL   34.719144  -86.463601      650.00  4  8 2019 20 57  8   79.00    1.38    5.77   32.05
NWS001AL   34.719144  -86.463601      650.00  4 19 2019  9 24 25   82.00    1.08    6.69   32.10
NWS008AL   35.141938  -85.366461      500.00  4 13 2019 22 43 25   82.00    0.39    0.24   32.39
NWS008AL   35.141938  -85.366461      500.00  4  8 2019  9 51 49   71.00    2.54    2.06   29.58
NWS005AL   34.914387  -86.360065      891.00  4 28 2019  0  5 41   77.00    0.49    1.99   29.56
NWS019AL   35.319141  -85.556360      550.00  4 23 2019  0 35 53   72.00    2.73    0.97   30.41
NWS005AL   34.914387  -86.360065      891.00  4  8 2019 17 32 23   85.00    0.75    1.10   30.12
NWS010AL   35.043812  -85.436362     1125.00  4 19 2019 19 38  3   84.00    2.76    1.03   30.96
NWS012AL   35.071911  -85.646360     1350.00  4 10 2019 17 41 50   80.00    0.28    7.87   31.20
NWS001AL   34.719144  -86.463601      650.00  4 29 2019  7 21 13   84.00    1.32    1.01   29.45
NWS009AL   34.438719  -86.506463     1200.00  4  7 2019  1  2 48   79.00    3.00    7.96   30.08
NWS012AL   35.071911  -85.646360     1350.00  4 16 2019 14  2 11   83.00    2.57    6.38   31.49
NWS009AL   34.438719  -86.506463     1200.00  4  7 2019  1 20 13   81.00    2.06    0.02   30.09
NWS010AL   35.043812  -85.436362     1125.00  4 23 2019  8 35 29   77.00    1.74    0.55   30.28
NWS001AL   34.719144  -86.463601      650.00  4 28 2019 21 10 25   79.00    0.50    2.28   30.87
NWS015AL   34.871914  -86.306360      978.00  4  9 2019 23 59 32   75.00    2.81    1.66   33.47
NWS019AL   35.319141  -85.556360      550.00  4 16 2019 16 12 57   83.00    0.58    7.30   29.64
NWS010AL   35.043812  -85.436362     1125.00  4 22 2019 17 40 33   76.00    1.33    4.70   30.75
NWS009AL   34.438719  -86.506463     1200.00  4 24 2019 16 24 21   70.00    1.07    2.67   32.76
NWS010AL   35.043812  -85.436362     1125.00  4  5 2019 19  6 18   80.00    2.67    6.18   29.39
NWS009AL   34.438719  -86.506463     1200.00  4 12 2019  7  6 23   72.00    1.98    2.55   31.04
NWS015AL   34.871914  -86.306360      978.00  4 13 2019 11 33 31   70.00    2.13    4.21   31.49
NWS012AL   35.071911  -85.646360     1350.00  4 26 2019  3  3 22   80.00    1.10    7.68   30.21
NWS002AL   34.191439  -86.636006      725.00  4 15 2019 17 35  5   78.00    0.88    2.55   31.66
NWS005AL   34.914387  -86.360065      891.00  4 30 2019 17 29 44   71.00    1.79    0.16   33.58
NWS017AL   35.219142  -85.296361      625.00  4  1 2019  1  3 12   78.00    0.62    2.56   29.13
NWS009AL   34.438719  -86.506463     1200.00  4 22 2019 15 23 47   70.00    1.80    3.98   29.54
NWS017AL   35.219142  -85.296361      625.00  4  4 2019  3 48  3   83.00    1.35    0.30   29.39
NWS002AL   34.191439  -86.636006      725.00  4 29 2019 14  8 20   75.00    2.53    3.17   32.47
NWS008AL   35.141938  -85.366461      500.00  4  1 2019  5  3 10   74.00    1.46    6.34   29.27
NWS009AL   34.438719  -86.506463     1200.00  4  6 2019 18  5 18   83.00    0.44    0.10   31.17
NWS009AL   34.438719  -86.506463     1200.00  4 30 2019  1 46 24   81.00    1.41    6.86   32.61
NWS012AL   35.071911  -85.646360     1350.00  4 16 2019 17 49 16   78.00    1.84    3.42   31.96
NWS012AL   35.071911  -85.646360     1350.00  4  4 2019 14 56 48   70.00    2.59    1.88   30.21
NWS019AL   35.319141  -85.556360      550.00  4  5 2019  9 46 52   85.00    2.94    5.45   29.04
NWS008AL   35.141938  -85.366461      500.00  4 12 2019 22 54 36   82.00    1.57    4.00   33.42
NWS012AL   35.071911  -85.646360     1350.00  4 16 2019  3 50 21   71.00    2.05    5.97   30.78
NWS001AL   34.719144  -86.463601      650.00  4  1 2019 22 34 33   71.00    0.45    6.36   33.81
NWS005AL   34.914387  -86.360065      891.00  4  4 2019  6 43 14   85.00    1.09    1.48   30.02
NWS010AL   35.043812  -85.436362     1125.00  4 14 2019 13 28 40   78.00    2.48    0.37   29.02
NWS012AL   35.071911  -85.646360     1350.00  4 12 2019  0 23 16   81.00    1.20    4.84   29.54
NWS019AL   35.319141  -85.556360      550.00  4 19 2019 10 33 14   82.00    2.85    5.15   32.24
NWS019AL   35.319141  -85.556360      550.00  4  9 2019  3 48 59   73.00    2.04    3.18   31.62
NWS015AL   34.871914  -86.306360      978.00  4  3 2019 21 53 38   75.00    0.80    3.31   34.00
NWS001AL   34.719144  -86.463601      650.00  4 22 2019 18 28  1   77.00    1.72    7.14   31.19
NWS010AL   35.043812  -85.436362     1125.00  4 10 2019 10  0 51   78.00    0.67    1.95   29.06
NWS012AL   35.071911  -85.646360     1350.00  4  1 2019 15 32  8   72.00    1.48    0.65   30.69
NWS015AL   34.871914  -86.306360      978.00  4 25 2019  4 55 31   83.00    0.55    0.77   29.76
NWS017AL   35.219142  -85.296361      625.00  4  4 2019 20 37 12   74.00    0.94    4.81   33.89
NWS002AL   34.191439  -86.636006      725.00  4 11 2019 19  3 28   70.00    0.96    7.92   29.61
NWS012AL   35.071911  -85.646360     1350.00  4 15 2019 15 53  7   79.00    1.48    1.28   31.84
NWS008AL   35.141938  -85.366461      500.00  4 30 2019 18 18  9   75.00    1.71    4.43   29.96
NWS019AL   35.319141  -85.556360      550.00  4 28 2019 16 39  4   83.00    2.78    0.15   32.03
NWS008AL   35.141938  -85.366461      500.00  4  7 2019 10 47 21   82.00    1.36    0.79   29.09
NWS005AL   34.914387  -86.360065      891.00  4 22 2019 16 29 15   84.00    0.74    3.03   32.94
NWS012AL   35.071911  -85.646360     1350.00  4 23 2019  7 51  6   82.00    2.88    7.96   32.44
NWS010AL   35.043812  -85.436362     1125.00  4 22 2019  4 16 50   72.00    0.20    0.79   29.09
NWS001AL   34.719144  -86.463601      650.00  4 24 2019 20 52 34   71.00    2.60    2.48   33.77
NWS005AL   34.914387  -86.360065      891.00  4  2 2019 18 59 38   72.00    2.06    5.87   29.50
NWS019AL   35.319141  -85.556360      550.00  4 10 2019 22 23 18   72.00    2.01    4.58   33.30
NWS008AL   35.141938  -85.366461      500.00  4 23 2019 17 38 22   80.00    0.31    2.21   33.18
NWS010AL   35.043812  -85.436362     1125.00  4 29 2019  2 27 18   76.00    0.95    1.82   31.64
NWS019AL   35.319141  -85.556360      550.00  4 23 2019  0 22  0   81.00    0.60    7.52   29.48
NWS008AL   35.141938  -85.366461      500.00  4  8 2019  2 37 28   81.00    0.27    2.00   33.41
NWS012AL   35.071911  -85.646360     1350.00  4 29 2019 13 40 20   78.00    0.97    3.31   30.52
NWS012AL   35.071911  -85.646360     1350.00  4 13 2019 17 14 18   80.00    2.86    5.13   30.46
NWS019AL   35.319141  -85.556360      550.00  4 29 2019 15 15 35   71.00    1.74    3.96   33.88
NWS015AL   34.871914  -86.306360      978.00  4  1 2019 17 44 57   72.00    0.14    0.86   29.24
NWS019AL   35.319141  -85.556360      550.00  4  1 2019  3 30 53   83.00    0.74    5.13   32.04
NWS010AL   35.043812  -85.436362     1125.00  4 19 2019  9 16 54   74.00    2.87    7.25   29.97
NWS012AL   35.071911  -85.646360     1350.00  4 18 2019 20 17 43   78.00    0.37    7.77   29.07
NWS002AL   34.191439  -86.636006      725.00  4  6 2019  8 13 32   72.00    2.44    5.97   32.40
NWS005AL   34.914387  -86.360065      891.00  4 10 2019  0 14 39   85.00    1.03    3.39   31.49
NWS019AL   35.319141  -85.556360      550.00  4 16 2019 13 25 16   80.00    1.10    2.06   29.42
NWS008AL   35.141938  -85.366461      500.00  4  4 2019 18  9  0   85.00    2.42    3.70   30.35
NWS005AL   34.914387  -86.360065      891.00  4 29 2019 22 51 48   72.00    2.16    0.09   31.13
NWS019AL   35.319141  -85.556360      550.00  4 11 2019  8 42 11   77.00    0.45    0.73   32.62
NWS005AL   34.914387  -86.360065      891.00  4 26 2019 20 54 12   75.00    2.36    7.16   29.34
NWS019AL   35.319141  -85.556360      550.00  4 16 2019  3 54 30   77.00    1.52    0.78   29.10
NWS005AL   34.914387  -86.360065      891.00  4 10 2019 12 32 42   85.00    0.27    4.10   33.05
NWS009AL   34.438719  -86.506463     1200.00  4 30 2019 10 44 26   85.00    0.55    3.38   31.53
NWS008AL   35.141938  -85.366461      500.00  4 11 2019 15 52  7   74.00    1.55    5.36   33.41
NWS002AL   34.191439  -86.636006      725.00  4 14 2019 14 51 36   77.00    1.59    7.08   33.47
NWS017AL   35.219142  -85.296361      625.00  4 17 2019  4 31 22   70.00    2.26    1.14   32.16
NWS008AL   35.141938  -85.366461      500.00  4 28 2019  9  3 34   83.00    0.93    6.30   33.48
NWS008AL   35.141938  -85.366461      500.00  4 14 2019  4 47 26   85.00    1.62    7.91   30.66
NWS010AL   35.043812  -85.436362     1125.00  4  9 2019  1 28 45   84.00    1.57    0.10   31.71
NWS002AL   34.191439  -86.636006      725.00  4  1 2019  0 11 10   75.00    0.55    6.53   32.38
NWS002AL   34.191439  -86.636006      725.00  4 16 2019 11 13 53   80.00    1.88    1.46   31.85
NWS002AL   34.191439  -86.636006      725.00  4  3 2019 17 17 30   84.00    2.17    5.80   29.57
NWS009AL   34.438719  -86.506463     1200.00  4 18 2019  7 19 35   79.00    2.20    0.27   31.48
NWS005AL   34.914387  -86.360065      891.00  4 19 2019  6  7 50   70.00    2.33    6.56   30.99
NWS001AL   34.719144  -86.463601      650.00  4 14 2019 22 42 30   78.00    2.05    0.11   32.30
NWS017AL   35.219142  -85.296361      625.00  4 24 2019 11 25 18   79.00    2.27    3.22   29.57
NWS017AL   35.219142  -85.296361      625.00  4 19 2019 21 23 56   77.00    1.11    2.65   32.97
NWS012AL   35.071911  -85.646360     1350.00  4  6 2019  2  6 33   78.00    0.86    4.16   33.11
NWS005AL   34.914387  -86.360065      891.00  4 14 2019  8 46 55   72.00    1.61    6.23   32.49
NWS005AL   34.914387  -86.360065      891.00  4  9 2019  0 29 44   72.00    2.87    4.41   30.24
NWS005AL   34.914387  -86.360065      891.00  4 26 2019  8 24 17   81.00    2.58    3.88   31.88
NWS019AL   35.319141  -85.556360      550.00  4 21 2019 12 48 43   81.00    0.93    5.98   32.32
NWS001AL   34.719144  -86.463601      650.00  4 25 2019  6 17 59   74.00    0.03    1.15   33.80
NWS001AL   34.719144  -86.463601      650.00  4 18 2019 11 25 23   72.00    2.68    5.86   30.96
NWS002AL   34.191439  -86.636006      725.00  4  1 2019 18 40 57   71.00    1.68    3.01   31.68
NWS002AL   34.191439  -86.636006      725.00  4 13 2019 10 49 38   73.00    2.69    4.66   29.73
NWS009AL   34.438719  -86.506463     1200.00  4  1 2019 17 26 16   84.00    2.61    7.62   30.37
NWS017AL   35.219142  -85.296361      625.00  4 30 2019 15 29 24   70.00    1.46    5.75   33.12
NWS017AL   35.219142  -85.296361      625.00  4 28 2019 23 10 27   74.00    0.34    1.05   29.86
NWS019AL   35.319141  -85.556360      550.00  4 22 2019 16 50 23   81.00    1.71    7.08   33.02
NWS002AL   34.191439  -86.636006      725.00  4  5 2019 21 42 16   74.00    1.47    4.91   29.94
NWS008AL   35.141938  -85.366461      500.00  4  1 2019  6 32 47   78.00    0.16    3.13   33.73
NWS001AL   34.719144  -86.463601      650.00  4  2 2019 18 49 43   84.00    0.65    7.85   29.61
NWS008AL   35.141938  -85.366461      500.00  4 17 2019  6 38 19   72.00    1.86    7.35   33.80
NWS019AL   35.319141  -85.556360      550.00  4 22 2019 19 38 16   79.00    1.30    5.70   29.34
NWS009AL   34.438719  -86.506463     1200.00  4 19 2019  4 23 49   80.00    2.35    2.49   30.69
NWS009AL   34.438719  -86.506463     1200.00  4 13 2019  4 11  6   70.00    1.92    3.38   33.65
NWS019AL   35.319141  -85.556360      550.00  4  7 2019 18 11 49   70.00    0.19    2.55   29.73
NWS012AL   35.071911  -85.646360     1350.00  4 10 2019  1  0 12   82.00    1.23    6.76   30.64
NWS005AL   34.914387  -86.360065      891.00  4  6 2019 23 54  0   71.00    0.55    6.32   29.08
NWS002AL   34.191439  -86.636006      725.00  4  9 2019  6 18 40   73.00    0.41    0.42   30.70
NWS012AL   35.071911  -85.646360     1350.00  4 20 2019  6 29 33   79.00    2.41    4.61   33.54
NWS005AL   34.914387  -86.360065      891.00  4 17 2019 23 22 22   72.00    1.83    0.22   30.83
NWS012AL   35.071911  -85.646360     1350.00  4 30 2019  9 58 31   77.00    1.28    0.34   31.32
NWS019AL   35.319141  -85.556360      550.00  4 10 2019 14  6 26   85.00    2.22    7.78   32.51
NWS009AL   34.438719  -86.506463     1200.00  4 18 2019  4 23  1   85.00    1.86    4.40   30.69
NWS008AL   35.141938  -85.366461      500.00  4 23 2019  5 16  1   75.00    0.74    7.28   29.70
NWS017AL   35.219142  -85.296361      625.00  4 16 2019  0 34 39   76.00    0.34    4.42   33.09
NWS012AL   35.071911  -85.646360     1350.00  4 24 2019 16 53 32   81.00    0.85    7.02   30.27
NWS001AL   34.719144  -86.463601      650.00  4 12 2019  1 39 35   81.00    2.98    1.60   33.99
NWS012AL   35.071911  -85.646360     1350.00  4 24 2019  2 50 53   83.00    0.73    2.96   29.74
NWS009AL   34.438719  -86.506463     1200.00  4  6 2019 20  9 21   70.00    2.32    3.76   31.31
NWS001AL   34.719144  -86.463601      650.00  4 22 2019 21 32 32   75.00    2.90    7.37   33.01
NWS017AL   35.219142  -85.296361      625.00  4 14 2019 22 58 28   84.00    0.81    5.44   32.90
NWS010AL   35.043812  -85.436362     1125.00  4  1 2019  6 49 28   83.00    2.25    7.55   33.21
NWS010AL   35.043812  -85.436362     1125.00  4 26 2019 18 24 48   72.00    0.42    0.82   29.62
NWS001AL   34.719144  -86.463601      650.00  4 20 2019  1 26 59   74.00    2.42    6.49   31.82
NWS012AL   35.071911  -85.646360     1350.00  4 26 2019  6 40 11   73.00    2.60    6.28   30.40
NWS010AL   35.043812  -85.436362     1125.00  4 11 2019 19 54 31   70.00    1.71    6.56   30.84
NWS012AL   35.071911  -85.646360     1350.00  4  8 2019 15 24 17   76.00    2.43    1.86   32.75
NWS001AL   34.719144  -86.463601      650.00  4  3 2019 17 38 28   81.00    0.45    4.08   30.75
NWS009AL   34.438719  -86.506463     1200.00  4 25 2019 19 21 33   79.00    1.70    6.61   32.89
NWS012AL   35.071911  -85.646360     1350.00  4 14 2019  0 24 15   75.00    1.21    7.60   31.38
NWS005AL   34.914387  -86.360065      891.00  4  7 2019  8 43 33   78.00    1.27    4.50   32.69
NWS009AL   34.438719  -86.506463     1200.00  4 29 2019 11 36 19   70.00    1.84    2.92   33.08
NWS019AL   35.319141  -85.556360      550.00  4 24 2019 19 13 36   85.00    2.85    6.60   31.05
NWS012AL   35.071911  -85.646360     1350.00  4  1 2019  0 35 25   77.00    1.26    7.43   30.38
NWS005AL   34.914387  -86.360065      891.00  4 13 2019  9  0 55   80.00    0.09    3.35   29.38
NWS008AL   35.141938  -85.366461      500.00  4 28 2019  2  8  0   82.00    0.36    2.47   33.31
NWS001AL   34.719144  -86.463601      650.00  4 27 2019  2 53 17   70.00    1.58    6.59   32.54
NWS010AL   35.043812  -85.436362     1125.00  4  6 2019  2  1  8   71.00    0.11    2.80   32.58
NWS012AL   35.071911  -85.646360     1350.00  4 20 2019  4 16 55   80.00    0.60    7.42   29.21
NWS005AL   34.914387  -86.360065      891.00  4  3 2019  8 38  8   75.00    0.82    0.28   31.64
NWS012AL   35.071911  -85.646360     1350.00  4 10 2019  1 55 23   70.00    0.06    1.69   29.47
NWS002AL   34.191439  -86.636006      725.00  4  2 2019 17 52 53   71.00    1.23    7.68   29.28
NWS009AL   34.438719  -86.506463     1200.00  4 14 2019 20 34 18   74.00    0.60    0.20   30.11
NWS015AL   34.871914  -86.306360      978.00  4 30 2019 14  5 47   80.00    1.16    2.96   31.70
NWS009AL   34.438719  -86.506463     1200.00  4  1 2019 23 50  8   76.00    0.74    3.23   30.63
NWS001AL   34.719144  -86.463601      650.00  4 24 2019 21 15 58   81.00    1.90    4.46   29.95
NWS010AL   35.043812  -85.436362     1125.00  4 17 2019 17 48 35   73.00    0.40    3.72   33.13
NWS012AL   35.071911  -85.646360     1350.00  4 22 2019  1 47 27   83.00    1.24    6.31   33.55
NWS017AL   35.219142  -85.296361      625.00  4  6 2019 13 58 18   82.00    1.48    5.53   33.87
NWS015AL   34.871914  -86.306360      978.00  4  2 2019 11 50 44   71.00    1.47    7.84   30.45
NWS002AL   34.191439  -86.636006      725.00  4 24 2019 21 43 41   83.00    2.64    2.16   29.73
NWS012AL   35.071911  -85.646360     1350.00  4  2 2019 22 12 51   77.00    2.29    1.89   31.21
NWS019AL   35.319141  -85.556360      550.00  4 23 2019  0 54 42   73.00    1.65    5.37   30.44
NWS001AL   34.719144  -86.463601      650.00  4 20 2019 18  4  3   71.00    2.12    0.97   33.18
NWS001AL   34.719144  -86.463601      650.00  4  4 2019 23 14 30   84.00    1.71    6.09   31.68
NWS008AL   35.141938  -85.366461      500.00  4 21 2019 17 38  3   77.00    2.49    1.69   29.87
NWS015AL   34.871914  -86.306360      978.00  4 19 2019  1 54  0   82.00    0.59    6.51   31.21
NWS002AL   34.191439  -86.636006      725.00  4  7 2019  6 24 55   84.00    2.73    3.33   32.72
NWS015AL   34.871914  -86.306360      978.00  4 30 2019 15 43 27   74.00    0.45    0.88   31.12
NWS017AL   35.219142  -85.296361      625.00  4 20 2019  9 57 51   82.00    2.20    0.40   32.58
NWS009AL   34.438719  -86.506463     1200.00  4 13 2019  0 20 55   73.00    1.14    0.39   31.02
NWS001AL   34.719144  -86.463601      650.00  4 17 2019 17 51 49   72.00    0.98    6.44   29.84
NWS019AL   35.319141  -85.556360      550.00  4  8 2019  2 59 13   83.00    2.07    2.68   32.52
NWS012AL   35.071911  -85.646360     1350.00  4 27 2019 23 15 19   74.00    1.52    2.57   29.92
NWS012AL   35.071911  -85.646360     1350.00  4 22 2019 17 46  2   84.00    1.46    5.66   32.51
NWS017AL   35.219142  -85.296361      625.00  4 12 2019 15  3 54   73.00    1.25    2.99   30.90
NWS005AL   34.914387  -86.360065      891.00  4  2 2019  7  6 51   83.00    0.52    1.86   31.71
NWS001AL   34.719144  -86.463601      650.00  4 23 2019  7 26 30   75.00    2.45    6.28   30.35
NWS012AL   35.071911  -85.646360     1350.00  4 15 2019 23 22 35   76.00    1.06    4.31   29.51
NWS002AL   34.191439  -86.636006      725.00  4 16 2019 11 25 47   75.00    0.07    2.47   29.04
NWS005AL   34.914387  -86.360065      891.00  4  8 2019  3  3  6   73.00    2.49    2.25   29.67
NWS008AL   35.141938  -85.366461      500.00  4  9 2019 23 56 45   81.00    1.63    3.86   33.60
NWS008AL   35.141938  -85.366461      500.00  4  2 2019  7  4 51   73.00    0.77    4.92   33.36
NWS019AL   35.319141  -85.556360      550.00  4  3 2019 15 43 53   85.00    2.61    3.40   31.64
NWS015AL   34.871914  -86.306360      978.00  4 19 2019  9 37 13   83.00    2.56    4.91   31.41
NWS009AL   34.438719  -86.506463     1200.00  4 13 2019  7 51 30   72.00    2.70    0.29   29.09
NWS005AL   34.914387  -86.360065      891.00  4 29 2019 23 42 43   84.00    0.69    3.49   33.14
NWS012AL   35.071911  -85.646360     1350.00  4 16 2019  8  1  2   72.00    2.21    7.60   30.38
NWS005AL   34.914387  -86.360065      891.00  4  8 2019 13 47 29   79.00    1.66    6.74   33.35
NWS001AL   34.719144  -86.463601      650.00  4 22 2019 17 33 24   76.00    1.95    0.67   29.47
NWS015AL   34.871914  -86.306360      978.00  4 20 2019 16 34  9   72.00    1.37    4.31   29.23
NWS017AL   35.219142  -85.296361      625.00  4  6 2019 11 52 33   76.00    2.33    3.39   33.97
NWS019AL   35.319141  -85.556360      550.00  4 29 2019 10 23 52   85.00    0.60    2.27   33.94
NWS017AL   35.219142  -85.296361      625.00  4  4 2019 10 10 42   78.00    2.39    6.81   30.40
NWS001AL   34.719144  -86.463601      650.00  4 28 2019 16 56 38   74.00    1.67    7.21   31.45
NWS019AL   35.319141  -85.556360      550.00  4 16 2019  9  3 42   76.00    2.69    1.96   31.31
NWS005AL   34.914387  -86.360065      891.00  4  4 2019 17 26 28   83.00    1.12    2.90   30.71
NWS010AL   35.043812  -85.436362     1125.00  4 20 2019 17  9 32   73.00    1.28    4.01   29.72
NWS017AL   35.219142  -85.296361      625.00  4  2 2019 21 52 30   74.00    2.99    8.00   31.71
NWS017AL   35.219142  -85.296361      625.00  4 12 2019 10 30 17   85.00    2.53    0.51   30.02
NWS001AL   34.719144  -86.463601      650.00  4  4 2019 13 13 10   72.00    0.50    7.47   30.39
NWS002AL   34.191439  -86.636006      725.00  4 11 2019  6 47 57   85.00    0.62    0.79   30.84
NWS001AL   34.719144  -86.463601      650.00  4 24 2019 22 23 21   73.00    1.85    3.61   29.86
NWS012AL   35.071911  -85.646360     1350.00  4 12 2019 16 49 57   73.00    0.53    4.36   33.05
NWS012AL   35.071911  -85.646360     1350.00  4 12 2019  3 31 27   85.00    1.63    1.48   30.34
NWS001AL   34.719144  -86.463601      650.00  4 21 2019 13 58 25   74.00    1.66    4.29   29.99
NWS017AL   35.219142  -85.296361      625.00  4 11 2019  2 35 41   76.00    0.02    0.70   29.39
NWS002AL   34.191439  -86.636006      725.00  4  7 2019  2 50 18   74.00    1.84    0.86   32.39
NWS001AL   34.719144  -86.463601      650.00  4 23 2019  6 13 35   79.00    1.24    7.99   29.28
NWS019AL   35.319141  -85.556360      550.00  4 14 2019 20 33 12   71.00    2.91    5.00   29.69
